citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,actual_vote
C48149,Tokugawa,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,15,4,36-45,1,1,Masters,7,AMR,AHO,Tokugawa
C48150,Tokugawa,0,3,19,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,0,0,0,15,15,0,15,2,18-24,1,0,Diploma,6,AGZ,AGZ,Tokugawa
C48151,Centaur,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,15,0,0,3,25-35,0,1,Masters,9,ATU,ARK,Centaur
C48152,Cosmos,0,0,0,0,8,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,1,55+,1,0,Masters,9,AOV,AOV,Cosmos
C48153,Odyssey,1,0,0,10,0,1,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,15,0,3,25-35,0,0,Masters,6,AQU,AQU,Odyssey
C48154,Cosmos,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,15,0,0,7,1,55+,0,0,Degree,6,AUQ,ATI,Ebony
C48155,Centaur,12,1,0,18,4,6,1,0,1,2,3,0,0,7,1,0,0,0,0,0,0,15,0,15,3,1,18-24,1,1,Degree,6,AXG,AXG,Centaur
C48156,Ebony,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,0,3,25-35,1,0,Masters,8,AII,AII,Ebony
C48157,Ebony,2,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,15,15,0,0,0,4,25-35,0,0,Primary,8,AWI,ACO,Ebony
C48158,Centaur,9,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,18-24,1,1,Degree,7,AHS,AHO,Centaur
C48159,Ebony,2,10,2,0,10,1,1,2,0,8,0,1,0,0,1,1,2,0,0,0,0,3,0,0,5,3,55+,0,0,Masters,9,AEC,AEC,Cosmos
C48160,Odyssey,0,2,0,14,0,0,0,0,7,0,0,0,0,3,0,0,2,0,1,0,0,15,0,15,0,4,25-35,1,1,Masters,7,AGD,AGD,Odyssey
C48161,Ebony,0,13,0,0,0,0,5,0,0,0,0,1,0,0,0,0,6,0,0,0,0,15,0,0,0,1,25-35,1,0,Masters,8,ADE,ADE,Ebony
C48162,Centaur,21,0,2,0,0,6,0,0,0,0,5,0,0,0,0,5,0,2,0,0,2,0,0,0,0,3,46-55,1,0,Masters,7,AHS,AHS,Centaur
C48163,Centaur,3,1,0,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,15,3,55+,1,0,Degree,7,AZN,BAN,Centaur
C48164,Cosmos,17,6,10,4,17,1,0,4,4,8,1,0,1,0,3,14,5,1,0,0,14,15,15,15,15,3,55+,0,0,Primary,6,AQU,AQU,Cosmos
C48165,Tokugawa,0,0,16,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0,15,0,0,2,18-24,1,1,Masters,6,API,API,Tokugawa
C48166,Cosmos,0,3,0,0,3,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,15,0,0,15,1,55+,0,1,Degree,7,AWW,AKT,Cosmos
C48167,Centaur,21,0,0,2,2,13,0,0,1,0,3,0,0,0,1,0,0,0,1,0,15,0,0,15,15,4,46-55,1,1,Masters,4,AHS,AHS,Centaur
C48168,Odyssey,3,0,0,9,0,1,0,0,7,0,1,0,0,1,0,0,0,0,0,0,10,0,0,15,0,3,55+,1,1,Degree,8,AQT,AQT,Odyssey
C48169,Tokugawa,0,0,10,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,15,15,0,0,3,55+,1,1,Primary,5,ANQ,ATU,Tokugawa
C48170,Odyssey,0,0,1,5,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,15,15,15,4,55+,0,0,Primary,7,AHJ,AQU,Odyssey
C48171,Odyssey,0,1,14,15,3,0,1,8,11,1,0,0,1,2,1,0,0,4,0,0,0,15,15,15,15,1,46-55,1,0,Masters,7,APH,APH,Cosmos
C48172,Centaur,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,15,7,0,0,3,18-24,1,1,Degree,9,AHO,AHO,Centaur
C48173,Ebony,0,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15,0,0,0,1,18-24,1,0,Degree,8,AKN,ACL,Ebony
C48174,Tokugawa,0,1,10,0,0,0,1,8,0,0,0,0,0,0,0,0,0,2,0,0,0,15,15,0,0,4,55+,1,0,Degree,5,AWX,AEC,Tokugawa
C48175,Ebony,4,13,0,4,15,0,3,0,2,2,0,0,0,1,0,4,10,0,0,12,0,0,0,15,0,3,25-35,1,0,Degree,6,AWX,AWX,Cosmos
C48176,Ebony,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,4,18-24,0,1,Diploma,6,AII,AII,Ebony
C48177,Cosmos,0,0,0,0,10,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,1,55+,1,1,Masters,8,AFX,AFX,Cosmos
C48178,Centaur,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,36-45,1,0,Degree,7,ARK,ACL,Centaur
C48179,Ebony,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,3,18-24,0,0,Masters,8,ASE,ABX,Ebony
C48180,Centaur,17,1,0,0,0,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,15,15,0,0,0,3,55+,1,0,Primary,5,AHQ,ANQ,Centaur
C48181,Ebony,0,11,0,6,0,0,10,0,5,0,0,0,0,0,0,0,1,0,1,0,0,15,0,15,0,1,18-24,1,0,Masters,7,AXT,AXT,Odyssey
C48182,Centaur,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,46-55,1,0,Masters,7,ARK,ARK,Centaur
C48183,Odyssey,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,15,1,36-45,1,0,Masters,6,ACL,AWI,Cosmos
C48184,Centaur,17,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,15,0,0,0,0,3,25-35,1,0,Degree,0,AGA,ABH,Centaur
C48185,Centaur,5,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0,0,15,0,4,36-45,0,0,Masters,6,ATI,ATI,Centaur
C48186,Odyssey,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,25-35,0,0,Masters,6,ADV,ADV,Odyssey
C48187,Odyssey,0,0,0,10,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,15,0,0,15,0,1,25-35,0,1,Masters,6,AVO,AVO,Odyssey
C48188,Cosmos,0,0,0,2,4,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,15,0,15,15,1,18-24,0,0,Degree,7,AQX,ATI,Cosmos
C48189,Centaur,4,0,0,3,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,15,0,0,15,0,3,25-35,0,0,Diploma,0,ACL,ATC,Odyssey
C48190,Cosmos,0,0,0,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,15,4,18-24,1,1,Degree,8,AJB,AMS,Cosmos
C48191,Tokugawa,0,0,20,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,15,0,15,0,15,2,46-55,1,0,Masters,8,AWU,AWU,Tokugawa
C48192,Ebony,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,55+,1,0,Masters,9,ACO,ACL,Ebony
C48193,Tokugawa,0,0,17,0,0,0,0,5,0,0,0,0,4,0,0,0,0,2,0,0,0,0,15,0,0,1,25-35,1,0,Diploma,7,ANQ,ANQ,Tokugawa
C48194,Odyssey,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,15,0,15,0,2,46-55,0,0,Masters,7,AZN,AZN,Odyssey
C48195,Cosmos,2,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,15,0,0,0,11,3,18-24,0,1,Degree,0,ACL,AWX,Cosmos
C48196,Centaur,18,0,0,0,1,1,0,0,0,1,1,0,0,0,0,10,0,0,0,0,15,0,0,0,0,4,46-55,1,0,Primary,8,ATI,AWD,Centaur
C48197,Cosmos,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,3,55+,1,1,Degree,7,ATI,ATI,Cosmos
C48198,Centaur,13,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,15,0,0,0,0,4,18-24,0,1,Masters,7,AHS,AHS,Centaur
C48199,Centaur,15,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,15,0,0,0,4,46-55,1,0,Diploma,8,ATE,AJI,Centaur
C48200,Cosmos,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,18-24,1,0,Diploma,3,ATI,AHR,Cosmos
C48201,Ebony,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,1,25-35,0,1,Masters,6,AQU,AII,Odyssey
C48202,Cosmos,0,0,0,0,6,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,15,15,3,46-55,1,0,Primary,6,AEC,AMS,Cosmos
C48203,Cosmos,3,9,2,0,6,1,4,0,0,0,1,1,0,0,2,0,1,1,0,0,15,0,0,0,3,1,55+,0,1,Masters,8,ASF,AHS,Ebony
C48204,Odyssey,3,1,0,17,0,1,0,0,7,0,1,0,0,2,0,0,1,0,1,0,15,15,0,15,15,4,46-55,1,0,Masters,7,AET,AWX,Odyssey
C48205,Ebony,0,9,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,0,0,0,3,18-24,1,0,Diploma,4,ABX,ABX,Ebony
C48206,Cosmos,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,36-45,0,0,Degree,0,ACL,AOV,Cosmos
C48207,Odyssey,0,0,0,11,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,3,55+,1,0,Degree,8,AXR,AXR,Odyssey
C48208,Centaur,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,25-35,0,1,Primary,6,ACL,APH,Centaur
C48209,Cosmos,2,0,0,0,10,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,15,0,0,0,15,1,55+,1,0,Degree,7,AMZ,AMZ,Cosmos
C48210,Odyssey,0,0,0,11,3,0,0,0,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,15,5,3,55+,1,0,Diploma,5,ATU,ATU,Odyssey
C48211,Cosmos,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,15,1,36-45,1,0,Primary,6,AOV,ACL,Odyssey
C48212,Ebony,0,12,0,0,0,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15,0,0,0,3,18-24,0,1,Degree,6,ANN,ACO,Ebony
C48213,Odyssey,6,0,0,4,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,15,0,0,15,15,3,55+,0,0,Masters,7,AZG,AZG,Ebony
C48214,Odyssey,0,0,0,6,8,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,15,4,25-35,1,0,Masters,5,ACL,AES,Cosmos
C48215,Centaur,6,0,0,2,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,15,0,0,15,0,1,36-45,1,1,Diploma,5,AHS,AET,Centaur
C48216,Centaur,6,0,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,25-35,1,0,Masters,6,ACL,ATI,Centaur
C48217,Centaur,11,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,15,0,0,0,1,25-35,1,1,Masters,6,AGE,AGE,Centaur
C48218,Cosmos,0,0,0,0,10,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,2,55+,1,0,Masters,6,AUD,AUD,Cosmos
C48219,Cosmos,0,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,15,0,0,15,1,46-55,1,0,Masters,9,AWO,AWO,Cosmos
C48220,Centaur,14,1,1,0,1,10,0,1,0,1,2,0,0,0,0,0,1,0,0,0,13,15,15,0,15,1,55+,1,0,Degree,3,ANQ,ANQ,Tokugawa
C48221,Ebony,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,3,25-35,1,0,Degree,8,ABX,ACD,Ebony
C48222,Cosmos,0,0,0,0,11,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,4,55+,0,0,Degree,5,AWW,AWW,Cosmos
C48223,Cosmos,1,0,0,0,21,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,15,0,0,0,9,3,36-45,1,0,Masters,6,ATI,AGD,Cosmos
C48224,Cosmos,1,0,0,3,8,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,15,0,0,15,15,1,55+,1,0,Masters,6,AQT,AHR,Centaur
C48225,Ebony,0,5,0,3,1,0,2,0,3,1,0,1,0,0,0,0,1,0,0,0,0,4,0,15,0,3,25-35,1,0,Masters,6,ATF,ATF,Ebony
C48226,Cosmos,0,1,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,15,4,46-55,1,0,Primary,5,ATU,AJI,Cosmos
C48227,Odyssey,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,15,4,46-55,1,0,Masters,7,AHR,AQX,Odyssey
C48228,Odyssey,0,2,0,7,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,15,0,15,0,3,46-55,1,0,Degree,6,ABX,ACL,Odyssey
C48229,Cosmos,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,3,55+,1,1,Masters,4,AXT,AOT,Cosmos
C48230,Tokugawa,0,0,8,0,2,0,0,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,13,0,7,1,36-45,1,1,Degree,6,AEC,AEC,Tokugawa
C48231,Odyssey,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,3,36-45,1,1,Masters,6,AES,AES,Odyssey
C48232,Ebony,2,15,2,0,4,2,6,2,0,2,0,0,0,0,1,0,9,0,0,0,15,15,15,0,15,1,25-35,1,0,Masters,8,ASE,ASE,Ebony
C48233,Centaur,14,6,0,0,0,4,1,0,0,0,4,0,0,0,0,1,2,0,0,0,15,15,15,0,0,4,25-35,1,0,Masters,10,ACL,ARK,Centaur
C48234,Odyssey,0,0,0,17,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,1,36-45,1,0,Primary,6,AUE,AUE,Odyssey
C48235,Odyssey,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,3,18-24,1,0,Degree,8,AZG,AZG,Odyssey
C48236,Odyssey,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,55+,1,1,Masters,7,AMH,ACL,Odyssey
C48237,Ebony,1,5,0,0,2,1,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,46-55,1,0,Masters,6,ARK,AEC,Centaur
C48238,Cosmos,0,0,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,3,25-35,1,0,Degree,7,AVH,ATX,Cosmos
C48239,Tokugawa,1,0,8,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,15,0,15,0,0,1,36-45,1,0,Masters,5,AEP,AEP,Tokugawa
C48240,Tokugawa,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,15,3,36-45,1,0,Degree,6,ATU,ANQ,Tokugawa
C48241,Odyssey,0,1,0,11,1,0,1,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,15,15,1,46-55,1,0,Degree,5,ACL,AMH,Odyssey
C48242,Ebony,0,11,0,0,0,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,3,18-24,0,0,Degree,7,ACI,ACI,Ebony
C48243,Centaur,13,1,16,0,0,1,1,6,0,0,1,0,2,0,0,1,0,4,0,0,2,0,6,0,0,3,46-55,1,0,Primary,9,AEC,AEC,Tokugawa
C48244,Ebony,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,3,25-35,1,0,Masters,6,ABX,ACO,Ebony
C48245,Cosmos,1,0,0,0,17,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,15,0,0,0,15,5,46-55,1,0,Degree,7,AQU,AQU,Cosmos
C48246,Tokugawa,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,46-55,1,0,Masters,8,ANQ,ACL,Tokugawa
C48247,Centaur,4,2,0,0,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,15,15,0,0,15,3,25-35,1,0,Degree,7,AHD,AFR,Ebony
C48248,Ebony,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,15,3,25-35,1,0,Primary,8,ACL,AEC,Cosmos
C48249,Centaur,1,9,3,0,4,1,3,1,0,4,0,0,1,0,0,0,5,0,0,0,0,0,10,0,0,3,55+,1,1,Degree,3,AFP,AFP,Ebony
C48250,Tokugawa,0,0,10,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,4,55+,0,0,Degree,8,ATU,ACO,Tokugawa
C48251,Odyssey,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,4,36-45,1,1,Masters,10,AJV,ACL,Odyssey
C48252,Odyssey,0,1,6,12,0,0,0,2,5,0,0,0,1,1,0,0,1,2,1,0,0,11,15,15,0,3,25-35,1,0,Degree,7,ACO,ACO,Tokugawa
C48253,Cosmos,0,6,1,0,6,0,4,1,0,2,0,0,0,0,1,0,2,0,0,1,0,8,15,0,8,4,36-45,0,0,Masters,9,AWD,AWD,Centaur
C48254,Ebony,0,9,0,0,2,0,2,0,0,0,0,1,0,0,1,0,3,0,0,0,0,15,0,0,15,3,55+,1,0,Masters,8,APH,APH,Cosmos
C48255,Centaur,11,1,2,0,0,4,1,0,0,0,3,0,1,0,0,1,0,0,0,0,15,15,15,0,0,1,36-45,1,1,Primary,3,ARK,ARK,Centaur
C48256,Centaur,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,1,25-35,1,0,Masters,7,ARK,AJV,Centaur
C48257,Cosmos,17,0,0,0,10,3,0,0,0,2,4,0,0,0,1,2,0,0,0,1,1,0,0,0,2,2,25-35,1,0,Diploma,9,ATI,ARK,Centaur
C48258,Ebony,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,18-24,0,0,Masters,5,ABX,ABX,Ebony
C48259,Centaur,8,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,7,0,0,0,4,25-35,0,0,Primary,8,ARK,ARK,Centaur
C48260,Cosmos,0,0,0,1,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,15,4,25-35,1,0,Degree,6,AWX,AJI,Odyssey
C48261,Odyssey,0,0,0,13,1,0,0,0,11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,15,15,4,25-35,1,0,Degree,7,AHR,ACL,Odyssey
C48262,Odyssey,1,0,0,12,0,1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,15,0,0,15,0,1,18-24,1,1,Primary,8,AHJ,AHJ,Odyssey
C48263,Ebony,0,9,0,1,1,0,0,0,1,1,0,1,0,0,0,0,5,0,0,0,0,15,0,15,15,3,18-24,1,0,Degree,8,ACL,AOV,Ebony
C48264,Ebony,0,11,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,1,18-24,0,0,Diploma,7,AXO,AXO,Ebony
C48265,Centaur,3,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,15,15,0,0,12,1,36-45,1,1,Degree,8,ARA,ARA,Cosmos
C48266,Cosmos,8,1,0,1,7,4,1,0,1,5,1,0,0,0,1,0,0,0,0,0,15,15,0,15,15,1,25-35,1,1,Masters,7,AMR,AHO,Cosmos
C48267,Centaur,6,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,9,0,0,0,0,4,46-55,0,0,Degree,6,AOV,APL,Centaur
C48268,Odyssey,1,0,0,6,2,1,0,0,4,2,0,0,0,1,0,0,0,0,0,0,15,0,0,15,0,1,25-35,1,0,Degree,5,AHJ,AHJ,Odyssey
C48269,Centaur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,25-35,1,1,Diploma,7,ACL,AHS,Centaur
C48270,Tokugawa,0,0,9,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,15,15,0,0,4,25-35,1,0,Degree,8,AEC,AEC,Tokugawa
C48271,Ebony,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,1,25-35,1,0,Masters,9,AHS,AMC,Ebony
C48272,Tokugawa,0,0,9,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15,0,0,3,55+,1,0,Masters,6,AEC,AWD,Tokugawa
C48273,Tokugawa,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,4,18-24,1,1,Masters,7,AEC,AEC,Tokugawa
C48274,Ebony,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,4,46-55,1,0,Diploma,7,AEW,ACL,Ebony
C48275,Cosmos,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,3,55+,1,1,Masters,5,AHR,AWX,Cosmos
C48276,Odyssey,0,1,0,10,0,0,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,15,0,15,0,4,46-55,0,0,Degree,7,ADV,ADV,Odyssey
C48277,Centaur,12,1,0,10,0,2,0,0,4,0,1,0,0,2,0,5,1,0,0,0,15,15,0,15,15,4,36-45,1,0,Diploma,6,APH,APH,Odyssey
C48278,Cosmos,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3,18-24,0,0,Primary,5,AHJ,ADN,Cosmos
C48279,Cosmos,0,0,0,0,11,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,15,0,0,15,1,36-45,1,0,Primary,7,AMR,AMR,Cosmos
C48280,Centaur,8,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,0,0,0,3,46-55,0,0,Degree,3,AOV,AXJ,Centaur
